,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,owner,title,ispublic,datetaken,dateupload,count_views,count_comments,count_faves,tags,latitude,longitude,url_z,height_z,width_z,logview,logfaves,residfaves,path
9825,,,3858,49722974002,16854222@N05,Intense Red,,2020-03-29 12:51:56,2020-04-01 04:37:37,2694,240,93,kamelie camellia camelliajaponica camelia blossom blÃ¼te bud knospe leaves blÃ¤tter bokeh 2020 anymotion plants pflanzen nature blumen floral flowers garden garten frankfurt spring frÃ¼hling primavera printemps colours colors farben red rot 7d2 canoneos7dmarkii ngc npc,50.123315,8.680443,https://live.staticflickr.com/65535/49722974002_aa32f1387d_z.jpg,421.0,640.0,7.8991534833431,4.54329478227,0.455061497791452,/Users/Yohan/Downloads/02466Fagprojekt-main/49722974002_aa32f1387d_z.jpg
22227,,,14570,49918454688,113432645@N05,WB200738,,2020-05-21 09:03:27,2020-05-21 09:34:31,41,0,0,birdwatching birds vogels vogelaar vogelbescherming vogelfotografie vogel onlanden leekstermeer leekstermeergebied matsloot poldermatsloot nature natuurmonumenten nationalgeographic naturelover natuurgebied naturephotography natuurfotografie wildlife animals groningerlandschap drenthe cwildeboerphotography wwwwildeboerphoto wwwfacebookcomwildeboerphotography wwwinstagramcomdeboerit canon5dmarkiv sigma150600mmf50f63c,53.18523,6.465844,https://live.staticflickr.com/65535/49918454688_291d39375a_z.jpg,427.0,640.0,3.73766961828337,0.0,-0.403496908725204,/Users/Yohan/Downloads/02466Fagprojekt-main/49918454688_291d39375a_z.jpg
26141,,,3263,49970122223,34419196@N07,Soft Colors,,2020-04-19 14:52:27,2020-06-04 15:48:45,2636,9,226,colors color april 2020 tzand zand noordholland northholland nh north noord nl nederland netherlands niederlande holland holanda olanda nikon d5200 nikond5200 nikonphotography naturephotography flowerphotography natuur nature flower flowers bloemen bloem scentedhyacinths scented hyacinths geurendehyacinten geurend hyacinten hyacint hyacinth pinkhyacinths rozehyacinten roze pink softcolors zachtekleuren zacht soft bloeien bloei bloom molen mill dutch nederlands hollands typicaldutch typischnederlands typisch typical rows rijen bollenveld bollenvelden bulbfields bulbfield colorful kleurrijk kleur kleuren dutchflowers nederlandsebloemen,52.828906,4.74133,https://live.staticflickr.com/65535/49970122223_693f0165f8_z.jpg,427.0,640.0,7.87739718635329,5.4249500174814,1.35598058732009,/Users/Yohan/Downloads/02466Fagprojekt-main/49970122223_693f0165f8_z.jpg
27439,,,42680,49984675677,114976295@N06,See (2),,2020-05-27 11:35:03,2020-06-08 14:00:47,20,0,0,urlaub 2020 urlaub2020 nature museum see outdoor alt natur haus freilichtmuseum kiel hÃ¤user windmÃ¼hle molfsee wasser garten scheune,54.276751,10.086232,https://live.staticflickr.com/65535/49984675677_959a3d8c5c_z.jpg,424.0,640.0,3.04452243772342,0.0,0.210242015364904,/Users/Yohan/Downloads/02466Fagprojekt-main/49984675677_959a3d8c5c_z.jpg
30957,,,1937,50026806058,14150164@N06,IMG_7267,,2020-06-20 12:40:17,2020-06-20 22:27:59,2,0,0,myakkariverstatepark florida outdoors nature swamp,27.240398,-82.315514,https://live.staticflickr.com/65535/50026806058_9f97f311d2_z.jpg,427.0,640.0,1.09861228866811,0.0,1.93322500476761,/Users/Yohan/Downloads/02466Fagprojekt-main/50026806058_9f97f311d2_z.jpg
32871,,,23216,50046780293,25003692@N07,David J Melotti,,2020-04-28 09:39:50,2020-06-26 15:18:02,52,0,0,hike100nct hikethenct ilovethenct northcountrytrail nct challenge greatnorthcollective explore exploremore discover discovermore blueblazes upnorth greatoutdoors adventuremore hiking hikemoreworryless outdoors nature backpacking camping findyourway findyourtrail findyourpark getoutside whyihike outdoortherapy wander,42.737819,-86.207039,https://live.staticflickr.com/65535/50046780293_cff37b953f_z.jpg,480.0,640.0,3.97029191355212,0.0,-0.609469552373964,/Users/Yohan/Downloads/02466Fagprojekt-main/50046780293_cff37b953f_z.jpg
51830,,,34374,50265436582,39908901@N06,"Snoqualmie Falls in Washington State, just outside of Seattle, is a famous waterfall",,2020-07-29 19:02:37,2020-08-24 23:18:33,993,0,3,flow rock hydroelectric natural falls amazing nature water northwest beauty fall seattle trees summer majestic cascade rushing scenic trail outdoors pacific spectacular landscape touristattractions sky stream wilderness outdoor sightseeing washington spring snoqualmie tree waterfall river snoqualmiefalls scenery beautiful travel washingtonstate forest woods park green usa lush cliff tourism,47.541815,-121.838378,https://live.staticflickr.com/65535/50265436582_342aa6e818_z.jpg,640.0,427.0,6.90173720665657,1.38629436111989,-1.81878854824059,/Users/Yohan/Downloads/02466Fagprojekt-main/50265436582_342aa6e818_z.jpg
53794,,,98773,50295338006,8704943@N07,WschÃ³d sÅoÅca,,2020-08-02 05:09:12,2020-10-24 19:19:45,85,0,0,sÅupia slupia polska poland ÅwiÄtokrzyskie swietokrzyskie rano mgÅa mgla wschÃ³d wschod krajobraz widok sceneria przyroda natura morning fog sunrise landscape view scenery nature,50.367691,21.053042,https://live.staticflickr.com/65535/50295338006_4e54f10cdd_z.jpg,427.0,640.0,4.45434729625351,0.0,-1.03807063178567,/Users/Yohan/Downloads/02466Fagprojekt-main/50295338006_4e54f10cdd_z.jpg
65249,,,53264,50434239081,38501637@N07,"10/2/2020 Taylor Falls, MN",,2020-10-03 14:07:06,2020-10-08 02:21:13,18,0,0,taylorfalls taylorsfalls stcroix river saintcroix wisconsin stcroixfalls saintcroixfalls wi mn minnesota riverboat riverride water fall autumn nature plants forest,45.399863,-92.650043,https://live.staticflickr.com/65535/50434239081_3a0aa2d296_z.jpg,427.0,640.0,2.94443897916644,0.0,0.298859722969743,/Users/Yohan/Downloads/02466Fagprojekt-main/50434239081_3a0aa2d296_z.jpg
65949,,,29169,50446085522,53731740@N07,North Lake Bishop Creek High Sierra Autumn Colors Fall Foliage DJI MAVIC 2 PRO Drone Fine Art Landscape Nature Photography! California Aspens Brilliant Red Orange Yellow Autumn Leaves Sierra! Drone Photographer Hasselblad Mavic 2 Pro L1D-20c 20 mp Camera!,,2020-10-10 02:29:04,2020-10-11 04:49:26,6823,0,13,bishop california unitedstates north lake creek high sierra autumn colors fall foliage fine art landscape nature photography aspens brilliant red orange yellow leaves eastern elliot mcgucken 45epic master medium format 100 dji mavic 2 pro drone photographer hasselblad l1d20c 20 mp camera,37.231027,-118.611375,https://live.staticflickr.com/65535/50446085522_6b7e56fe23_z.jpg,421.0,640.0,8.82820108917151,2.63905732961526,-2.27179010380783,/Users/Yohan/Downloads/02466Fagprojekt-main/50446085522_6b7e56fe23_z.jpg
66613,,,38007,50460796308,66062373@N02,Caleb Smith Start Park Oct 2020 (33),,2020-10-11 09:46:11,2020-10-12 15:37:38,17,0,1,longisland calebsmith caleb nature preserve fall autumn,40.855163,-73.228103,https://live.staticflickr.com/65535/50460796308_74e7d783c4_z.jpg,427.0,640.0,2.89037175789616,0.693147180559945,1.03988008132168,/Users/Yohan/Downloads/02466Fagprojekt-main/50460796308_74e7d783c4_z.jpg
92677,,,46866,50833772628,29995326@N02,"Walk in Syngrou Park, Marousi, Athens",,2021-01-10 16:38:36,2021-01-14 10:39:24,513,0,11,ÎµÎ»Î»Î¬Î´Î± Î±ÏÏÎ¹ÎºÎ® Î¼Î±ÏÎ¿ÏÏÎ¹ ÏÎ¬ÏÎºÎ¿ Î¬Î½Î¸ÏÏÏÎ¿Î¹ ÎµÏÎ¿ÏÎ®ÏÎ¿ÏÎºÎ¿ÏÎ¿Î½Î¿ÏÎ¿Ï greece attica marousi park people timeofcoronavirus thechroniclesofcovid19 Î´Î­Î½ÏÏÎ± ÏÏÎ¬ÏÎ¹Î½Î¿ ÏÏÏÎ· trees green nature Î±ÎºÏÎ¿Î²Î¬ÏÎ·Ï Î±ÎºÏÎ¿Î²Î±ÏÎ¹ÎºÎ¬ acrobat acrobatics stphotographia,38.061591,23.811299,https://live.staticflickr.com/65535/50833772628_0b6dee291b_z.jpg,427.0,640.0,6.24222326545517,2.484906649788,-0.13621748711034,/Users/Yohan/Downloads/02466Fagprojekt-main/50833772628_0b6dee291b_z.jpg
98494,,,49509,50891802236,167498924@N05,"_PDN7718_Ring-billed Gull, Navarre Beach, Florida",,2021-01-29 07:32:42,2021-01-30 20:18:03,3028,88,220,bird nature navarrebeach nikkorafs200500f56edvr nikond850 northwestflorida ringbilledgull wildlife,30.372545,-86.908582,https://live.staticflickr.com/65535/50891802236_9b8f65258d_z.jpg,427.0,640.0,8.01598781102724,5.39816270151775,1.20647985166446,/Users/Yohan/Downloads/02466Fagprojekt-main/50891802236_9b8f65258d_z.jpg
119869,,,37139,51119608984,41316998@N00,Splish splash I was taking a bath (_K114583),,2021-04-15 15:59:02,2021-04-16 20:46:46,98,0,0,britishcolumbia canada canadagoose lostlagoon vancouver goose heron nature robin turtle wildlife,49.304872,-123.137948,https://live.staticflickr.com/65535/51119608984_cfc603d151_z.jpg,427.0,640.0,4.59511985013459,0.0,-1.16271601473392,/Users/Yohan/Downloads/02466Fagprojekt-main/51119608984_cfc603d151_z.jpg
139455,,,205394,51327355810,193325308@N06,"Vautour fauve, Gyps fulvus",,2021-07-21 11:11:17,2021-07-21 18:41:00,99,0,1,montagne oiseaux pyrÃ©nÃ©es nature wildlife,42.853844,0.219812,https://live.staticflickr.com/65535/51327355810_3e3be95979_z.jpg,427.0,640.0,4.60517018598809,0.693147180559945,-0.478467784478423,/Users/Yohan/Downloads/02466Fagprojekt-main/51327355810_3e3be95979_z.jpg
146683,,,55752,51410607298,8904060@N06,Rock Hugging,,2021-08-17 16:38:58,2021-08-29 15:17:42,2172,139,149,11600 20x 2x 7d 7dclassic 7dmark1 7dmarki 800mm canon explore image landscape nature canonef400mmf28lusm colorado coloradosprings didnotfire digital ef2x ef2xii ef400mmf28liiusm20x eos eos7d esplora evaluative explored extender f63 flashoff iso1000 photo pic pretty renown shutterspeedpriorityae supertelephoto teleconverter telephoto unitedstates usa,38.880438,-104.787606,https://live.staticflickr.com/65535/51410607298_81b51c6339_z.jpg,363.0,640.0,7.68386398025643,5.01063529409626,1.11302753865118,/Users/Yohan/Downloads/02466Fagprojekt-main/51410607298_81b51c6339_z.jpg
149396,,,96499,51456687459,65759713@N06,Ruff 2021-09-04_02,,2021-09-04 09:09:47,2021-09-12 15:32:45,378,3,11,aves animal animals avifauna birds bird birdphotography birdwatching birding birdhide trÃ¶nningeÃ¤ngar halland fÃ¥glar fÃ¥gel fauna djur wildlife wetland wetlands nature natur sweden sverige sony sonya1 sonyfe200600g sonyilce1 vadare waders wader shorebird shorebirds ruff philomachuspugnax brushane,56.626221,12.919578,https://live.staticflickr.com/65535/51456687459_fdaec57392_z.jpg,427.0,640.0,5.93753620508243,2.484906649788,0.133564045386525,/Users/Yohan/Downloads/02466Fagprojekt-main/51456687459_fdaec57392_z.jpg
152458,,,209803,51528681500,69233611@N05,Waulkmill Bay-19,,2021-08-05 16:00:03,2021-09-28 18:16:26,52,0,4,scottishbeach water coast seafront sand sea beach scottishscenery waulkmillbay vikingislands mood scotland eos7d highlands canonlens atmosphere nature landscape light copyrightleonreillyphotography donotcopy leonreilly uk beautifullight serenity orkney outerhebrides island orcadian landscapephotography scottishlandscape scottishisle scottishwilderness stonecircle neolithic ancient morning sun breaking clouds viking,58.94071,-3.080506,https://live.staticflickr.com/65535/51528681500_182644284b_z.jpg,253.0,640.0,3.97029191355212,1.6094379124341,0.999968360060136,/Users/Yohan/Downloads/02466Fagprojekt-main/51528681500_182644284b_z.jpg
163087,,,222830,51694113125,27758558@N00,IMG_7365,,2021-11-18 17:21:11,2021-11-20 19:59:06,59,0,0,holidays sightseeing vacations visiting spain gran canaria nature architecture fall lanscape driving mountain roads mountains volcano volcanic rock flowers plants,27.739225,-15.583848,https://live.staticflickr.com/65535/51694113125_4292d727ba_z.jpg,427.0,640.0,4.0943445622221,0.0,-0.719310494183373,/Users/Yohan/Downloads/02466Fagprojekt-main/51694113125_4292d727ba_z.jpg
175144,,,73148,51855006710,40695821@N00,P1006559,,2021-12-28 15:46:35,2022-01-31 16:43:24,53,0,0,varazze casanova ligura blackandwite landscape nature,44.378579,8.59133,https://live.staticflickr.com/65535/51855006710_7bf5dc83a4_z.jpg,427.0,640.0,3.98898404656427,0.0,-0.62602027915404,/Users/Yohan/Downloads/02466Fagprojekt-main/51855006710_7bf5dc83a4_z.jpg
